Number of frames: 3500																																										
Frequency: 100																																										
Units: deg/mm																																										
																																										
Frame	smart_thigh Rz	smart_thigh Ry	smart_thigh Rx	smart_thigh x	smart_thigh y	smart_thigh z	smart_shank Rz	smart_shank Ry	smart_shank Rx	smart_shank x	smart_shank y	smart_shank z	smart_foot Rz	smart_foot Ry	smart_foot Rx	smart_foot x	smart_foot y	smart_foot z	smart_up_arm Rz	smart_up_arm Ry	smart_up_arm Rx	smart_up_arm x	smart_up_arm y	smart_up_arm z	smart_low_arm Rz	smart_low_arm Ry	smart_low_arm Rx	smart_low_arm x	smart_low_arm y	smart_low_arm z	smart_low_back Rz	smart_low_back Ry	smart_low_back Rx	smart_low_back x	smart_low_back y	smart_low_back z	smart_up_back Rz	smart_up_back Ry	smart_up_back Rx	smart_up_back x	smart_up_back y	smart_up_back z
1	20.02321694	-65.16252502	-26.15197812	222.0230713	83.73584747	497.2631531	8.195051358	12.23112967	7.070826126	373.0665894	67.21628571	296.6860962	-12.79558162	33.14674753	16.15249751	418.454834	107.4960632	54.80189133	-6.711224777	-7.397838508	-6.018706348	260.6192627	52.34629059	1002.00177	6.575073921	-23.22755238	-22.51861118	498.4378967	38.89724731	1092.473145	-3.044451808	2.26451763	-1.978075291	-102.7925568	315.8990479	642.6188965	0.442756554	30.19346594	-0.377910792	-26.80560875	294.6825562	1015.676208
2	19.98650126	-65.17285227	-26.12544967	222.01474	83.74458313	497.2655334	8.194622763	12.22948871	7.060781906	373.0570984	67.21500397	296.68396	-12.81495631	33.12977451	16.12920998	418.4526672	107.5073013	54.79700089	-6.704882093	-7.404608933	-6.017540947	260.5950317	52.34645081	1002.00061	6.561186865	-23.22877327	-22.52759118	498.4094238	38.89937973	1092.477783	-3.027021166	2.244228126	-1.975877037	-102.8007813	315.9052734	642.6129761	0.442037463	30.18299185	-0.377992567	-26.8312912	294.6905823	1015.671204
3	20.09442166	-65.15171966	-26.20527409	222.0054016	83.74686432	497.2677002	8.199820537	12.22868104	7.066572199	373.0464783	67.22219849	296.6825562	-12.78740589	33.1527137	16.14153676	418.4526978	107.5115585	54.79642105	-6.709279881	-7.405303905	-6.008177611	260.5703735	52.3596611	1001.994812	6.589624785	-23.2215623	-22.52863449	498.3800354	38.89295578	1092.479858	-3.042795914	2.227254039	-1.97727808	-102.8146973	315.9111328	642.6098022	0.44957431	30.18089157	-0.375729934	-26.85139275	294.6966248	1015.66925
4	20.03780622	-65.16311242	-26.16885723	221.9976196	83.73473358	497.2703857	8.196448985	12.22790667	7.079440702	373.0413208	67.22235107	296.680481	-12.79206493	33.1536187	16.13033355	418.4508972	107.5070114	54.79853821	-6.7359983	-7.409466905	-6.001073787	260.5487061	52.3645401	1001.983582	6.573112376	-23.23027079	-22.53555859	498.3521423	38.88153839	1092.480591	-3.045768541	2.239052977	-1.978615943	-102.8201065	315.9158325	642.6047363	0.433147972	30.18176924	-0.377517816	-26.87361527	294.7000122	1015.668396
5	19.99516023	-65.17368555	-26.16857207	221.988739	83.73913574	497.2652283	8.195313466	12.23048251	7.082293587	373.0359802	67.21097565	296.6810303	-12.82495656	33.12295115	16.11287217	418.4491577	107.5134354	54.79337692	-6.72921208	-7.410964424	-5.97283992	260.530304	52.36561203	1001.959473	6.564348816	-23.23854386	-22.49558491	498.3271484	38.89172745	1092.473755	-3.039311451	2.246644732	-1.979551679	-102.8334808	315.9206238	642.6040649	0.438478561	30.18543023	-0.375733162	-26.88567543	294.7019043	1015.66748
6	20.06627787	-65.16016861	-26.19620018	221.9796753	83.73684692	497.2599487	8.210454288	12.22966203	7.085051702	373.0314941	67.21662903	296.6789856	-12.78140983	33.16279165	16.13981556	418.4492798	107.5108871	54.79328919	-6.732000932	-7.412001759	-5.953305579	260.5154724	52.37099838	1001.930237	6.57971418	-23.2324223	-22.49113163	498.3051453	38.88379669	1092.465454	-3.036211185	2.237298472	-1.977787782	-102.8390198	315.92453	642.600769	0.431966109	30.16906168	-0.376154606	-26.9074955	294.7018433	1015.666687
7	19.99996868	-65.17515404	-26.11233571	221.9730072	83.73373413	497.257019	8.18804273	12.22453085	7.092224255	373.0306702	67.21727753	296.6774292	-12.75391832	33.18273238	16.17265852	418.4518433	107.5077667	54.79337692	-6.714377336	-7.413550504	-5.945828229	260.4996033	52.36546326	1001.909119	6.554217511	-23.24127252	-22.48122956	498.2869263	38.87700653	1092.456787	-3.036653653	2.254417487	-1.980674391	-102.8474808	315.9298096	642.5964966	0.437029867	30.17291049	-0.372222551	-26.9154892	294.7037354	1015.667908
8	19.98308616	-65.17848717	-26.1235099	221.9666443	83.73127747	497.2536316	8.187698659	12.22116784	7.09575034	373.0273438	67.2019043	296.6777039	-12.78381321	33.15638151	16.15167789	418.4524231	107.5067825	54.79565048	-6.749697525	-7.417656302	-5.957039558	260.486145	52.35958862	1001.900879	6.531960059	-23.24768094	-22.44142151	498.2719116	38.87372589	1092.449829	-3.05195157	2.24143031	-1.983550328	-102.8480911	315.9356079	642.592041	0.434639701	30.17710081	-0.372829131	-26.93783379	294.7059326	1015.670349
9	20.04975393	-65.16662997	-26.18404074	221.9595642	83.71282959	497.2533569	8.231313686	12.22150337	7.107173831	373.0196228	67.19345093	296.6725464	-12.80308117	33.14287482	16.14691895	418.4510498	107.5010605	54.79841232	-6.775922463	-7.418290656	-5.953475053	260.4729004	52.36706543	1001.902466	6.51862753	-23.24744872	-22.48186989	498.2588501	38.86987686	1092.449219	-3.035183242	2.220425344	-1.978962362	-102.8612595	315.936676	642.5864258	0.440844315	30.17740817	-0.367909207	-26.94550133	294.7054138	1015.670898
10	20.02633151	-65.17207363	-26.16613711	221.9500885	83.70259094	497.2492981	8.238634795	12.22242971	7.107650664	373.0099792	67.19258881	296.6682434	-12.80961425	33.13463761	16.1319079	418.4517212	107.5035172	54.79904556	-6.737004899	-7.414695415	-5.956648529	260.4617004	52.36408997	1001.909546	6.541337482	-23.23998674	-22.45870018	498.2463379	38.86467362	1092.448975	-3.033281461	2.237604123	-1.976013427	-102.8672638	315.9338684	642.5824585	0.437530099	30.19351375	-0.372979955	-26.957407	294.7021179	1015.667786
11	19.98111053	-65.18224378	-26.11706391	221.9389191	83.70630646	497.240448	8.228287058	12.21952944	7.116015511	372.9985352	67.18749237	296.665863	-12.77995927	33.15335916	16.13856563	418.4520264	107.4963303	54.80225754	-6.727617658	-7.414501608	-5.96439311	260.4510498	52.3656807	1001.911499	6.542450376	-23.23485897	-22.48355012	498.2378235	38.86355591	1092.444824	-3.041597643	2.241871711	-1.974167355	-102.878006	315.9332581	642.5795288	0.433656074	30.17814924	-0.373985167	-26.9685936	294.6982422	1015.66333
12	19.98312031	-65.18117827	-26.1215189	221.9256592	83.69293976	497.2362671	8.19579841	12.2169408	7.094829118	372.9841309	67.17305756	296.6694641	-12.7760063	33.15951657	16.14923609	418.4500122	107.49086	54.8011322	-6.768199227	-7.416671901	-5.945940927	260.4417725	52.36343002	1001.904419	6.527456403	-23.23952058	-22.46105147	498.2300415	38.85258865	1092.43457	-3.043482348	2.235837452	-1.975529765	-102.8829422	315.9347229	642.5743408	0.439541003	30.18788909	-0.37129602	-26.98553467	294.6946106	1015.656067
13	19.9139083	-65.19430589	-26.07895316	221.9143524	83.67945862	497.2373047	8.171662229	12.213705	7.084553526	372.9700012	67.17224884	296.6705933	-12.79227581	33.15318157	16.12370656	418.4497681	107.478775	54.80643082	-6.757906986	-7.415475764	-5.945269861	260.4366455	52.36120606	1001.889038	6.540110182	-23.2350229	-22.46670345	498.223938	38.84648895	1092.420898	-3.038064301	2.249576377	-1.97716837	-102.888031	315.9381409	642.5698242	0.431568411	30.16726534	-0.371114967	-26.99784851	294.6887817	1015.648987
14	19.92170496	-65.19231148	-26.07523924	221.9033813	83.67098236	497.2362976	8.15518269	12.21254387	7.10459885	372.9605713	67.16912842	296.6698303	-12.79575409	33.15146036	16.13900276	418.449707	107.4799881	54.80618286	-6.75038652	-7.413322547	-5.937263172	260.4337463	52.35733032	1001.86731	6.52233803	-23.23754665	-22.43102596	498.2182312	38.84794617	1092.401978	-3.030220682	2.232327375	-1.975571173	-102.8943939	315.9391174	642.5666504	0.450405459	30.17799557	-0.363034906	-27.00958252	294.6789856	1015.644958
15	19.84040522	-65.20511125	-25.98597721	221.8971405	83.66494751	497.2354126	8.172922399	12.20925086	7.113460594	372.9577332	67.16327667	296.6683655	-12.78108967	33.15694501	16.15790873	418.447937	107.48349	54.80412674	-6.755755903	-7.410980646	-5.92459744	260.432312	52.36288071	1001.838318	6.507118234	-23.24153036	-22.413206	498.2140503	38.8454361	1092.380859	-3.041096691	2.245739305	-1.975548548	-102.895874	315.9371338	642.5628052	0.446677163	30.1764417	-0.364960806	-27.01597023	294.6672058	1015.642517
16	19.7947676	-65.21534288	-25.9623106	221.8964233	83.65404511	497.2337341	8.193682759	12.21175071	7.121282441	372.9593201	67.1578598	296.6686096	-12.78398738	33.1575324	16.14745512	418.4515991	107.4935455	54.7988205	-6.735316135	-7.407328202	-5.93046628	260.4359131	52.353405	1001.812317	6.549280992	-23.22769069	-22.43858527	498.2148132	38.83792877	1092.358643	-3.034440672	2.221997141	-1.972504204	-102.8986893	315.9307251	642.5615234	0.446647654	30.15919547	-0.358318447	-27.02238083	294.6590576	1015.642944
17	19.82979793	-65.2112311	-25.97891308	221.8982391	83.64152527	497.2292786	8.183466503	12.21469111	7.109460664	372.9637756	67.146492	296.6692505	-12.77855823	33.16642531	16.14281401	418.4546204	107.4882813	54.79822922	-6.724739587	-7.40766715	-5.944738387	260.4401855	52.35112381	1001.787109	6.502515113	-23.24032654	-22.41931902	498.2194824	38.83353806	1092.335693	-3.022701925	2.234438117	-1.974027763	-102.8944092	315.9230042	642.5622559	0.457047338	30.17559817	-0.351260888	-27.01764679	294.6552734	1015.644958
18	19.94674102	-65.18935401	-26.11511389	221.901001	83.64015198	497.2254639	8.218564284	12.21602897	7.117547181	372.972168	67.13539887	296.6728821	-12.7533924	33.1857684	16.18660918	418.4570923	107.477623	54.80063248	-6.733039974	-7.406293428	-5.930690395	260.4454651	52.34324646	1001.76886	6.517097994	-23.23812551	-22.41333065	498.2275391	38.82436752	1092.315186	-3.044373261	2.235606933	-1.975465518	-102.8958511	315.9167175	642.5618286	0.452342938	30.16926658	-0.356518586	-27.02264404	294.6537781	1015.643555
19	19.86109898	-65.20390914	-26.05182535	221.9039917	83.63761902	497.2246704	8.217811256	12.21532802	7.123727222	372.9805298	67.13193512	296.6738281	-12.76973875	33.17408878	16.16857236	418.4551697	107.4866638	54.80311966	-6.739678918	-7.402293499	-5.93661345	260.4543152	52.33745956	1001.762817	6.517941523	-23.23794963	-22.42539447	498.2392578	38.82127762	1092.298218	-3.042234985	2.244900259	-1.980111327	-102.8936005	315.9122925	642.5663452	0.461007193	30.17054724	-0.352406545	-27.01830483	294.6513367	1015.649353
20	19.80577616	-65.21558193	-25.99309426	221.9069672	83.63510132	497.2262878	8.207914311	12.21035735	7.109668131	372.9853821	67.14505005	296.6700745	-12.78750663	33.15827689	16.15872835	418.4555054	107.4851608	54.80273438	-6.728679325	-7.399750107	-5.937808306	260.4659119	52.33199692	1001.763062	6.525377037	-23.23365857	-22.46946627	498.2537842	38.80524445	1092.294312	-3.05486678	2.24755763	-1.982402856	-102.8870468	315.9101257	642.5698242	0.448092479	30.18079594	-0.359411704	-27.01401711	294.6494141	1015.654053
21	19.86663998	-65.20641582	-26.02931134	221.9079742	83.64443207	497.2282715	8.226422417	12.21152959	7.117690615	372.989502	67.14824677	296.6709595	-12.77464709	33.16057184	16.16911365	418.4555664	107.4817429	54.8024292	-6.752704516	-7.403811508	-5.962012789	260.4794922	52.32336426	1001.768433	6.5463359	-23.23254183	-22.4586592	498.2708435	38.79869461	1092.291138	-3.045875476	2.237750332	-1.977826416	-102.8909607	315.9078674	642.576355	0.472348295	30.17618556	-0.353581631	-27.001297	294.6478882	1015.658875
22	19.87450152	-65.20194204	-26.05000682	221.9112396	83.65844727	497.230835	8.236395347	12.21696129	7.131768489	372.9917603	67.15087891	296.670105	-12.76704765	33.16697855	16.17653465	418.4532166	107.4846649	54.80134964	-6.745023968	-7.401339834	-5.92717669	260.4937134	52.3162117	1001.77832	6.526038285	-23.23603376	-22.44137199	498.286377	38.78866577	1092.296143	-3.028536187	2.237392814	-1.975650147	-102.8832169	315.9057312	642.581604	0.457970267	30.18647524	-0.361757581	-26.98949814	294.6454773	1015.665466
23	19.8905832	-65.19496159	-26.05779835	221.9161987	83.65687561	497.2371521	8.216787581	12.21567551	7.099016024	372.9902954	67.15435791	296.6677856	-12.77525327	33.1665141	16.1599168	418.4495544	107.4901657	54.79921722	-6.740387977	-7.404309258	-5.926205096	260.5089722	52.30109024	1001.787292	6.511123713	-23.23609182	-22.48048507	498.3032227	38.77671051	1092.301758	-3.063702056	2.223286552	-1.977487468	-102.8813171	315.9033203	642.5866089	0.447674824	30.17349789	-0.36315102	-26.97425079	294.6423035	1015.668701
24	19.89874186	-65.19510502	-26.06635487	221.9229584	83.65641022	497.2415161	8.19369898	12.21204014	7.091848168	372.9878235	67.16517639	296.6662598	-12.77445414	33.16029521	16.14386757	418.4461975	107.4965668	54.79930878	-6.763270819	-7.405963018	-5.930580259	260.5238037	52.29328537	1001.79834	6.530470651	-23.23184515	-22.48943091	498.3191834	38.77137756	1092.308105	-3.037755662	2.242138301	-1.977466337	-102.8802872	315.8993835	642.5903931	0.460065107	30.18603128	-0.361472421	-26.95839691	294.6362305	1015.674194
25	19.91221612	-65.19074053	-26.06987413	221.9329834	83.6626358	497.2415466	8.214412383	12.21739672	7.103476138	372.9892578	67.18187714	296.6653748	-12.79071084	33.15281274	16.15596895	418.4473877	107.4944839	54.79895401	-6.740590748	-7.40987074	-5.954281869	260.5355835	52.29054642	1001.813965	6.528808354	-23.22533427	-22.46170888	498.3326721	38.75666046	1092.319092	-3.017299459	2.244007425	-1.975861242	-102.866272	315.8943787	642.5905762	0.462977489	30.17672857	-0.365282839	-26.95248795	294.6304016	1015.673096
26	19.9527106	-65.1793751	-26.09605083	221.9461975	83.67379761	497.2432556	8.20563559	12.22303845	7.101841588	372.9960632	67.19268036	296.6708374	-12.79737796	33.15418561	16.13590698	418.4514465	107.4878616	54.80168915	-6.73551421	-7.405529301	-5.933619693	260.5497131	52.29152298	1001.822693	6.518047391	-23.22618463	-22.44836269	498.3447571	38.75205994	1092.328613	-3.024835292	2.248245771	-1.976994413	-102.8616104	315.8872986	642.590332	0.468829894	30.16780151	-0.363208116	-26.94098854	294.6229248	1015.667236
27	19.98265757	-65.17350114	-26.11566884	221.9617157	83.67808533	497.2456665	8.174091215	12.22369757	7.096645522	373.0042419	67.20368195	296.6798401	-12.79531183	33.15659325	16.13092777	418.4555054	107.4951859	54.79870606	-6.745943055	-7.41241157	-5.937150901	260.5642395	52.2826004	1001.822449	6.517208985	-23.23032543	-22.45625156	498.354187	38.75144196	1092.337646	-3.036125808	2.230764969	-1.978297912	-102.8618698	315.8800659	642.5912476	0.475376791	30.18132528	-0.361885193	-26.93603325	294.6144714	1015.663757
28	19.93151994	-65.18192959	-26.07406957	221.9788971	83.67922974	497.2497864	8.188356919	12.22975851	7.067311567	373.0159302	67.20657349	296.6911621	-12.79024127	33.16407572	16.14017073	418.4605103	107.4967194	54.7965622	-6.708938371	-7.410436792	-5.967491028	260.5773315	52.28921509	1001.812256	6.509190343	-23.23237108	-22.45201684	498.3618164	38.75088882	1092.346436	-3.02882092	2.230592507	-1.975906279	-102.8556061	315.8721313	642.588623	0.47606125	30.16370681	-0.362188763	-26.939888	294.6043396	1015.661316
29	20.02748239	-65.1675657	-26.16678939	221.9952698	83.69524384	497.2525024	8.179562196	12.22837881	7.073059171	373.0288086	67.20580292	296.7016602	-12.76883802	33.18224061	16.14972275	418.4678345	107.496254	54.79942322	-6.716212523	-7.411223117	-5.954519218	260.5901794	52.28461075	1001.79895	6.531298811	-23.22940165	-22.45572563	498.370636	38.75110245	1092.3479	-3.030840522	2.23435957	-1.977593762	-102.8495102	315.868866	642.5858154	0.469136079	30.1539772	-0.366197071	-26.93863106	294.5953064	1015.658936
30	20.09217111	-65.15258027	-26.21126758	222.0107727	83.70557404	497.2555847	8.175507625	12.23198771	7.063189121	373.0415955	67.20870209	296.7050171	-12.77314018	33.18032133	16.16499846	418.4703979	107.4974136	54.80477142	-6.721449143	-7.414564787	-5.95405818	260.6002502	52.27225113	1001.786499	6.510443256	-23.24031629	-22.45775761	498.3779297	38.75084686	1092.345459	-3.020979863	2.213718311	-1.975904571	-102.8384094	315.8668823	642.5858765	0.474867728	30.15740596	-0.363725476	-26.94226646	294.5837708	1015.659973
31	20.02617783	-65.1592397	-26.1688043	222.0226135	83.71340179	497.261322	8.196339702	12.23694557	7.081783457	373.0557861	67.20752716	296.7045898	-12.78379784	33.17248369	16.16425739	418.4724121	107.5053177	54.8008728	-6.715946999	-7.41647724	-5.965223405	260.60849	52.26604462	1001.767944	6.510935029	-23.24027531	-22.44571599	498.3846741	38.75218964	1092.338379	-3.008930769	2.225181716	-1.972489477	-102.838913	315.8687134	642.5849609	0.492523073	30.16598468	-0.35173009	-26.95064926	294.5713196	1015.659302
