Number of frames: 2000																																										
Frequency: 100																																										
Units: deg/mm																																										
																																										
Frame	smart_thigh Rz	smart_thigh Ry	smart_thigh Rx	smart_thigh x	smart_thigh y	smart_thigh z	smart_shank Rz	smart_shank Ry	smart_shank Rx	smart_shank x	smart_shank y	smart_shank z	smart_foot Rz	smart_foot Ry	smart_foot Rx	smart_foot x	smart_foot y	smart_foot z	smart_up_arm Rz	smart_up_arm Ry	smart_up_arm Rx	smart_up_arm x	smart_up_arm y	smart_up_arm z	smart_low_arm Rz	smart_low_arm Ry	smart_low_arm Rx	smart_low_arm x	smart_low_arm y	smart_low_arm z	smart_low_back Rz	smart_low_back Ry	smart_low_back Rx	smart_low_back x	smart_low_back y	smart_low_back z	smart_up_back Rz	smart_up_back Ry	smart_up_back Rx	smart_up_back x	smart_up_back y	smart_up_back z
1	-4.147622982	4.051421902	0.087692632	375.2950134	112.2709198	671.8500977	13.24817728	9.744804205	1.752319289	333.1112671	87.16638947	312.1651917	-10.17659852	31.16396411	13.10407053	417.7487183	118.6089706	52.2233963	-4.108914592	3.602701952	-1.756621988	529.5367432	52.02745056	1325.588623	2.582908392	-4.268549347	-8.92780942	780.9940796	31.04206467	1344.870239	0.584551655	-3.932679917	-0.346877507	269.0817261	296.4414673	1017.861938	2.120802552	20.08333456	-0.72527591	234.9729156	296.5186462	1388.36731
2	-4.139091649	4.04656393	0.118637518	375.2921448	112.2771072	671.8441772	13.26619446	9.74661762	1.76589952	333.1247253	87.15827179	312.1611023	-10.17974809	31.15785792	13.1060419	417.748291	118.6081696	52.22241974	-4.103822686	3.599483226	-1.742825113	529.5345459	52.01938629	1325.570801	2.583009564	-4.268708149	-8.949988752	780.9916382	31.04405785	1344.862549	0.563595887	-3.940084696	-0.343691117	269.0407715	296.4331665	1017.862183	2.118159482	20.07708664	-0.722643299	234.9306793	296.489563	1388.366943
3	-4.149800105	4.04359792	0.103074331	375.2875977	112.2979431	671.8355713	13.27724912	9.746740564	1.781679391	333.1326294	87.14424133	312.1614685	-10.17502672	31.15539222	13.10852467	417.7469177	118.6067276	52.22024155	-4.074049465	3.600019822	-1.739105328	529.5275879	52.01740265	1325.564453	2.586619959	-4.269706637	-8.904681545	780.9838867	31.05182648	1344.846558	0.574415281	-3.929633226	-0.341356793	269.0021362	296.4286804	1017.859741	2.13153406	20.06706163	-0.719112785	234.8921509	296.4624329	1388.363525
4	-4.126503183	4.043653416	0.097828926	375.2798157	112.3023911	671.8309326	13.26693042	9.748670946	1.770384072	333.1377563	87.1437912	312.1566467	-10.17181739	31.15892684	13.10277877	417.7464905	118.6049042	52.21876907	-4.092982322	3.601253525	-1.789359085	529.5144653	52.01196671	1325.553589	2.598667986	-4.271783014	-8.921823613	780.9745483	31.06573868	1344.812866	0.576606171	-3.921309786	-0.34132555	268.9594727	296.4274597	1017.864075	2.135785639	20.06445762	-0.721433875	234.8521576	296.4390564	1388.361938
5	-4.158061645	4.034868939	0.122018248	375.2633972	112.3071747	671.8294067	13.25346128	9.746247936	1.748543048	333.1401062	87.15261841	312.1538696	-10.1654858	31.16603707	13.10976435	417.7470703	118.6037521	52.22127152	-4.073043293	3.609638863	-1.800977023	529.4954834	52.00597763	1325.535278	2.614621387	-4.271601588	-8.937356317	780.9644775	31.0870533	1344.762695	0.616602371	-3.910191946	-0.340669505	268.9283752	296.4299316	1017.870117	2.139562947	20.07453044	-0.715663166	234.8244629	296.421875	1388.363403
6	-4.19241024	4.025853089	0.082308729	375.2408752	112.3180847	671.8242798	13.26302611	9.746249644	1.746143197	333.141449	87.15441132	312.1534119	-10.1673641	31.16292592	13.10600091	417.7470703	118.6067581	52.21858215	-4.05637635	3.619969524	-1.835649198	529.4735718	52.00786209	1325.513794	2.607774123	-4.265348123	-8.922584325	780.9519043	31.10951805	1344.708984	0.582582906	-3.895437884	-0.336171185	268.8955994	296.4346924	1017.880371	2.131180598	20.05548788	-0.714583836	234.7988892	296.4074097	1388.365479
7	-4.158402728	4.027625523	0.091963121	375.2122803	112.3292923	671.8186646	13.28285159	9.749833785	1.74482337	333.1448975	87.15841675	312.1524048	-10.16517076	31.15584643	13.11009049	417.7458191	118.6059341	52.21767044	-4.068975061	3.628847916	-1.84322772	529.453125	52.00666809	1325.490479	2.659400534	-4.247859423	-8.921217433	780.9396973	31.12628937	1344.653442	0.589754552	-3.888902673	-0.331622199	268.8571167	296.4403076	1017.894592	2.139375331	20.07958649	-0.710589189	234.7647705	296.3927917	1388.369019
8	-4.170898559	4.02381385	0.100812932	375.176239	112.3369827	671.8173828	13.27037369	9.747479078	1.721781407	333.1468201	87.16654205	312.1519165	-10.1640267	31.15717148	13.10903949	417.7442017	118.6057968	52.21848297	-4.096337653	3.638253087	-1.848601158	529.4376221	52.00707626	1325.474609	2.610421034	-4.233884856	-8.979849485	780.9296265	31.15390587	1344.592896	0.593728761	-3.876903738	-0.325687806	268.8312073	296.447876	1017.90741	2.130164394	20.07912204	-0.708167834	234.7344055	296.3778076	1388.370605
9	-4.212450015	4.014143156	0.059391837	375.1379395	112.3531876	671.8174438	13.26729839	9.746726903	1.734467629	333.149292	87.17907715	312.1483765	-10.1580648	31.15415596	13.11158801	417.7440796	118.6063156	52.21609879	-4.09965371	3.644554363	-1.895872683	529.4277954	52.0083046	1325.457764	2.641795935	-4.207756821	-9.030499606	780.9204102	31.16918373	1344.529053	0.585153725	-3.871405436	-0.320156286	268.7886353	296.4561462	1017.919006	2.129130901	20.07024621	-0.706902968	234.7165527	296.360199	1388.370239
10	-4.241539364	4.011366684	0.050285484	375.0979309	112.387001	671.8110962	13.2683178	9.749896111	1.71913759	333.1560669	87.18761444	312.1443787	-10.16043573	31.15180979	13.11874434	417.7420654	118.6058426	52.21737289	-4.066680118	3.652073121	-1.894370682	529.421875	52.02827835	1325.428223	2.631831329	-4.194701341	-9.026526144	780.9159546	31.19941521	1344.444092	0.587951221	-3.87999696	-0.316236078	268.7496033	296.466217	1017.928162	2.178212213	20.07205791	-0.695547405	234.6944122	296.3478088	1388.371826
11	-4.243145312	4.008225651	0.042126509	375.0582886	112.4067154	671.803894	13.2773106	9.747614828	1.747431542	333.1579285	87.18991852	312.1395264	-10.16670158	31.15033447	13.10631852	417.7399902	118.6046982	52.21588898	-4.076095107	3.659167553	-1.922482247	529.4182129	52.04578018	1325.381348	2.640244628	-4.181443517	-9.012693303	780.9119263	31.22693253	1344.343262	0.602757097	-3.830889181	-0.311557211	268.7121277	296.4763489	1017.93396	2.159489384	20.06886651	-0.693200008	234.6793823	296.3378601	1388.369263
12	-4.258286988	4.003272057	0.031010903	375.0219116	112.4223785	671.8000488	13.32326411	9.752860413	1.768245369	333.1564636	87.19680023	312.1347961	-10.16487023	31.15144779	13.10419689	417.7372742	118.605835	52.21528244	-4.070707795	3.670529146	-1.927998265	529.4172363	52.0717392	1325.310791	2.626517015	-4.173936286	-9.004482562	780.911377	31.25881767	1344.233398	0.599930093	-3.824786407	-0.309075025	268.6768188	296.4922485	1017.939758	2.179464699	20.07064748	-0.685858622	234.6616516	296.3313293	1388.373535
13	-4.256328858	4.002333332	0.039171532	374.9900513	112.4413147	671.7970581	13.30147239	9.752689658	1.728344365	333.1552429	87.20904541	312.1336975	-10.16083786	31.15689145	13.10967897	417.7341919	118.6070404	52.21780014	-4.061715424	3.683113769	-1.891185466	529.4147949	52.09140778	1325.227295	2.639309106	-4.169902632	-8.977992527	780.9127197	31.29564476	1344.115479	0.58176259	-3.841326564	-0.309878639	268.6461182	296.5112915	1017.939148	2.184800144	20.07474047	-0.677160002	234.6470032	296.3280945	1388.376343
14	-4.249327487	3.998842252	0.016628587	374.9625244	112.4653702	671.7949219	13.29142091	9.750566323	1.738782815	333.1515503	87.21679688	312.1358948	-10.16330612	31.15401935	13.10522313	417.7339172	118.6102066	52.21673584	-4.055357372	3.689785157	-1.880742747	529.4068604	52.10881805	1325.14209	2.656163665	-4.164260042	-8.955326544	780.9084473	31.32399559	1343.999878	0.572951219	-3.828738098	-0.31207868	268.6098328	296.5339661	1017.936035	2.164547139	20.07395841	-0.672051234	234.6279602	296.3235168	1388.375366
15	-4.249717661	3.996399179	0.005516856	374.9374695	112.4890594	671.796814	13.30899755	9.752363517	1.738291361	333.1446228	87.22850037	312.1377869	-10.15980821	31.15924103	13.10325262	417.7347412	118.6139832	52.21772385	-4.018224621	3.695200643	-1.8579916	529.3909912	52.14224625	1325.056885	2.664650815	-4.157988648	-8.923029995	780.899292	31.36955452	1343.880371	0.567049242	-3.839881979	-0.312532594	268.5736084	296.561676	1017.936707	2.18689381	20.068344	-0.658653711	234.6005707	296.3215027	1388.375732
16	-4.242260802	4.000407219	0.020043829	374.9145508	112.5039291	671.8005981	13.27954748	9.747610559	1.711700795	333.1346741	87.24734497	312.1375122	-10.16124938	31.15755739	13.10135468	417.7330933	118.617157	52.22120667	-4.044590859	3.705934712	-1.832495998	529.3677368	52.17548752	1324.975342	2.693678052	-4.144522076	-8.954629865	780.8834839	31.40241814	1343.758667	0.564770893	-3.820788185	-0.315058484	268.5458984	296.5872498	1017.932068	2.193562636	20.05887223	-0.650860999	234.5771637	296.3181152	1388.376953
17	-4.270580047	4.001333563	0.029507785	374.8952332	112.5379028	671.8024292	13.26768344	9.743441582	1.719053493	333.1235352	87.26507568	312.1362915	-10.16588793	31.15221277	13.09761686	417.7318726	118.6168823	52.21928787	-4.03027649	3.713497012	-1.806704777	529.3463135	52.20691681	1324.897583	2.68401739	-4.140952875	-8.931245005	780.8668213	31.44862557	1343.640137	0.567541122	-3.82450082	-0.313955702	268.5100708	296.6131287	1017.932983	2.182283006	20.05750449	-0.64145284	234.5539551	296.319397	1388.376343
18	-4.26232491	3.99869711	0.00959306	374.8798218	112.5684357	671.807251	13.29504689	9.747667762	1.706335147	333.1143494	87.27314758	312.1426392	-10.168404	31.14940556	13.10263363	417.7318726	118.6187286	52.21989822	-4.017299984	3.722119699	-1.808820855	529.3261108	52.23202133	1324.825684	2.707129042	-4.127949903	-8.926421184	780.8527832	31.48459244	1343.52124	0.556920071	-3.837875611	-0.314554731	268.4948425	296.6438293	1017.936035	2.196739101	20.07562669	-0.631408033	234.5314941	296.3284607	1388.377808
19	-4.232707075	3.997605561	0.024536617	374.8659363	112.5920334	671.8126831	13.30965923	9.755534432	1.66860753	333.1048889	87.28188324	312.1492004	-10.17018668	31.15235962	13.09802411	417.732605	118.6214142	52.22338867	-4.021459996	3.734315002	-1.794871048	529.3078613	52.27270889	1324.755371	2.717779228	-4.117046786	-8.895927804	780.8408203	31.51698494	1343.401001	0.568758763	-3.836138608	-0.31458504	268.4743652	296.6765137	1017.933289	2.198011651	20.07251212	-0.624186389	234.5066986	296.3433838	1388.373535
20	-4.224787044	3.993825905	0.00736068	374.852478	112.6160278	671.815979	13.27649524	9.74873754	1.678096691	333.0943604	87.29463196	312.1519775	-10.17112668	31.15653969	13.09428885	417.73349	118.6214752	52.22283936	-4.019473265	3.745265076	-1.799270757	529.2929688	52.29719925	1324.688721	2.711863217	-4.102421217	-8.904032678	780.8341675	31.5601387	1343.29126	0.564631141	-3.823968065	-0.314627568	268.455719	296.7127686	1017.930359	2.207122483	20.06277739	-0.616962237	234.4838409	296.3614197	1388.373657
21	-4.212063255	3.996166098	0.00384253	374.8366699	112.641098	671.8198853	13.21617187	9.73694095	1.683764147	333.0838928	87.31253052	312.1565552	-10.17554496	31.15505071	13.09953272	417.7328186	118.6225052	52.22571182	-4.020576341	3.757142348	-1.828656792	529.2815552	52.32026291	1324.632324	2.699217976	-4.101226788	-8.921417216	780.8276367	31.59480858	1343.191895	0.552555794	-3.828060202	-0.313996096	268.4445801	296.7479553	1017.923767	2.208450955	20.05408256	-0.60314391	234.4622498	296.3833313	1388.369629
22	-4.217498379	3.995560773	0.025277801	374.8218994	112.6607971	671.8214722	13.2300491	9.739065992	1.672879707	333.0772095	87.32315064	312.1602783	-10.17835132	31.15448381	13.09806082	417.7346191	118.6247559	52.2244339	-4.006194951	3.767044415	-1.810599052	529.270813	52.34486389	1324.584351	2.716598246	-4.086557249	-8.918435839	780.8218994	31.62817955	1343.10437	0.565780374	-3.823295291	-0.316707921	268.4297791	296.7829285	1017.919189	2.195770282	20.04751875	-0.598670777	234.4494781	296.4028931	1388.365723
23	-4.229302653	3.994714683	0.036165845	374.8087158	112.6782227	671.8242188	13.25003424	9.74264245	1.6788129	333.0757141	87.33930969	312.160553	-10.18164091	31.14798488	13.0925019	417.7363892	118.6249771	52.22217941	-3.995826297	3.774348021	-1.828475365	529.2612915	52.38013077	1324.539063	2.733345656	-4.073039024	-8.918340216	780.8131104	31.66499519	1343.017334	0.554587989	-3.811836368	-0.318165099	268.425415	296.8191223	1017.914612	2.221344431	20.02356528	-0.591377148	234.4288483	296.4216003	1388.362793
24	-4.287179115	3.987090485	0.015323693	374.7968445	112.7017746	671.824707	13.26739572	9.743202526	1.703855255	333.0802612	87.35079193	312.1622314	-10.17884138	31.1508638	13.0898202	417.7350769	118.625	52.2260704	-3.997311863	3.778517852	-1.851240385	529.2496948	52.40288925	1324.498413	2.727552802	-4.067287578	-8.922402471	780.8027344	31.68938255	1342.936035	0.543949062	-3.821344845	-0.318261122	268.4205017	296.8512878	1017.905823	2.203055532	20.03491364	-0.589077189	234.4178467	296.4403687	1388.358765
25	-4.285491631	3.985402147	0.029754385	374.7858276	112.7214966	671.8223877	13.288069	9.745854346	1.701310689	333.0898438	87.35752106	312.1623535	-10.17574389	31.15594547	13.09307478	417.7361755	118.624733	52.2264328	-3.98284723	3.788661536	-1.835063296	529.2388916	52.43128967	1324.455444	2.731569167	-4.054456213	-8.925649372	780.7919312	31.71088409	1342.852661	0.529570606	-3.817645871	-0.313000489	268.4109802	296.8855591	1017.901245	2.19408109	20.02181846	-0.585878366	234.4104462	296.4612427	1388.351929
